temperature_F,strength_fraction
85.81390257,0.9892625228999999
102.5553224,0.978819466
119.2965577,0.9681693757
136.0369937,0.9566221408
152.7797048,0.9476283175
169.518788,0.9345628379
186.2619296,0.9260520925
203.0034724,0.9157470578
219.7447692,0.9051659786999999
236.4872344,0.8958961109000001
253.230007,0.8869712987
269.9737635,0.8791506646
286.7177659,0.8716060749000001
303.4645354,0.8671669859
320.2116738,0.8631419637000001
336.9577054,0.8578747412
353.7017693,0.8503991627
370.7866773,0.8456682413
390.2427358,0.8435872499
406.9912885,0.8411494835000001
423.7408865,0.8398849061999999
440.4903616,0.8384823068
457.237992,0.8350093735
473.9851304,0.8309843512
490.7328223,0.8275804291
507.4833427,0.8273510188000001
524.2317109,0.824706219
540.9808785,0.8229585639
557.727894,0.8187955194
574.4756473,0.8154606084
591.2240771,0.8128848198
607.971154,0.8087907864
624.7192148,0.8058009309999999
641.4665992,0.8020519532
658.2145985,0.7989930866999999
674.9600152,0.7930357530000001
691.7061083,0.7878375416
708.4520784,0.782501308
725.1980486,0.7771650742999999
741.9448795,0.7727949963999999
758.9959183,0.7680311483
775.4365738,0.7618464846999999
792.1825439,0.756510251
808.9273457,0.749862806
825.6706103,0.7414900829
842.4155965,0.7350496712000001
859.1613207,0.7294373931
875.9045852,0.72106467
892.6480957,0.7129679913
909.3927131,0.7061135129
926.1363466,0.6981548565
943.8915053,0.6860771801
961.1384111,0.6732640632
977.8780477,0.6608196836000001
994.0110766,0.6511917717
1009.836668,0.6383330124
1024.28953,0.6229878495
1040.264346,0.6067005674
1054.716391,0.5904377482000001
1066.88401,0.5739105622999999
1079.051037,0.5567191443
1091.219784,0.5414571624
1103.385938,0.5232852114
1114.792234,0.5068403771
1124.673,0.487324939
1136.081437,0.4732827874
1148.246972,0.4544161791
1158.892468,0.4386411127
1168.01346,0.4209449705
1177.895167,0.4024850739
1189.29953,0.38387131859999996
1200.700935,0.36193640289999995
1212.866525,0.3431318499
1224.777217,0.32309406209999997
1235.675843,0.3065685714
1247.844985,0.2917494109
1259.251015,0.27500635
1272.772476,0.2587575082
1289.678381,0.24302337229999998
1306.414697,0.226852392
1321.970842,0.2154217578
1339.89108,0.19872011
1356.631208,0.1868278195
1373.370968,0.1745214622
1390.113003,0.16476851650000002
1399.244524,0.1588903653
