condition,temperature_F,strength_fraction
stressed,279.7025931436058,0.9951819301060083
stressed,300.4893207422981,0.9952645408176862
stressed,321.27537758020776,0.9950993193943303
stressed,342.06165800504493,0.9950167086826524
stressed,362.84927995144767,0.9954297622410421
stressed,383.6380198324882,0.9962558693578216
stressed,404.4196063743426,0.9944389666732402
stressed,425.20767405210404,0.9950167086826524
stressed,445.9919421945931,0.9941906015658728
stressed,466.7793405540682,0.9945210444125846
stressed,487.56539739197785,0.9943558229892286
stressed,508.3512277579673,0.994106924909528
stressed,529.1377346547248,0.9941079908541949
stressed,549.9242386664896,0.9941079908541949
stressed,570.706215042971,0.9924351239427162
stressed,591.4929538210098,0.992521865189978
stressed,612.280978223882,0.9930836180293882
stressed,633.0689579093689,0.9936288487264627
stressed,653.8517027757578,0.9922399228256061
stressed,674.6412057373448,0.9933479723067576
stressed,695.4277097491096,0.9933479723067576
stressed,716.214183949284,0.9933369575452005
stressed,736.999100493863,0.9927504214922871
stressed,757.7841192496089,0.9922016503361406
stressed,778.5683799048553,0.9913727768391543
stressed,799.3586497936453,0.9927641899442334
stressed,820.1445724793984,0.9925494020938708
stressed,840.9280058973577,0.9914148816534935
stressed,861.7123858333107,0.9906300798925528
stressed,882.4977942691303,0.9902252874053309
stressed,903.280720890054,0.9889035160184835
stressed,924.0705601936963,0.9901358368820408
stressed,944.8621144880674,0.9920018110907484
stressed,965.6495788589209,0.9923566437666221
stressed,986.4357080964073,0.9922181724784762
stressed,1007.2239880271968,0.992874337559804
stressed,1028.005160177642,0.990904325882634
stressed,1048.7848009121863,0.9883684879346485
stressed,1069.5695269442172,0.987711561464273
stressed,1090.3460653672103,0.9840294840294841
stressed,1111.1177807007653,0.9785653755284993
stressed,1131.898503393403,0.976429298555112
stressed,1152.6696498682359,0.9707550086075032
stressed,1173.444922363339,0.9666051971908806
stressed,1194.218216955589,0.9617245918764358
stressed,1214.9843745569444,0.9542070171137417
stressed,1235.744718898183,0.9445415638474208
stressed,1256.504392478639,0.9346282784460659
stressed,1277.2569112774122,0.9220714502710164
stressed,1296.117512024022,0.9086885149791875
stressed,1326.292282066708,0.8864662335378171
stressed,1346.0866116344612,0.8689775458755936
stressed,1364.9330146111702,0.8503488303922144
stressed,1381.8896124321811,0.8316746790174122
stressed,1397.8961177672995,0.8110602467977739
stressed,1412.0202054244269,0.7931298977936723
stressed,1428.9578449372038,0.7674510464911767
stressed,1442.1272286280573,0.7458765707138809
stressed,1452.4665365612134,0.7259453596763791
stressed,1461.2263543933034,0.7042572941705262
stressed,1470.6190176337998,0.6836596900588223
stressed,1482.5048628587963,0.6533099569975925
stressed,1492.4206016830567,0.6264926841933349
stressed,1501.9732789008956,0.6026777862461159
stressed,1510.6518322009345,0.580055760749904
stressed,1517.6054800518848,0.5559761807050311
stressed,1525.3446167277725,0.5395143245197476
stressed,1533.1401268725692,0.5106337574016533
stressed,1540.9056654204094,0.4873030762401695
stressed,1548.1272144181808,0.4624647889289972
stressed,1556.243318387785,0.4356705946727638
stressed,1563.1105436804799,0.4129072130699028
stressed,1569.5264743754597,0.38963754581975835
stressed,1578.0612363493503,0.35129109586810214
stressed,1583.676448134452,0.3314002722896433
stressed,1589.990573524904,0.307195202639888
stressed,1594.031992665796,0.2859366144886751
stressed,1596.2565734462798,0.2666566512282347
unstressed,107.73809681493125,0.9939191663703595
unstressed,130.1295006404516,0.9884406136846485
unstressed,149.59980950674267,0.9842231602535292
unstressed,170.0500487166315,0.9763466878434341
unstressed,190.81844218726272,0.9696552201975196
unstressed,209.82753493117886,0.967499596939673
unstressed,232.359030106294,0.9576766670042158
unstressed,253.1298830331285,0.951893917186759
unstressed,273.9007359599631,0.946111167369302
unstressed,294.6724832345079,0.9406588603985568
unstressed,315.44579561754585,0.9357848284095573
unstressed,336.218437239801,0.9306629642855239
unstressed,356.98951375356296,0.9249628251797449
unstressed,377.76237896274574,0.9199235717673896
unstressed,398.5350205850009,0.9148017076433562
unstressed,419.30945090267664,0.9103407292127466
unstressed,440.0841048072799,0.9059623614938149
unstressed,460.85920588573845,0.9017492151982391
unstressed,481.63587207268995,0.898114343884409
unstressed,502.4109731511485,0.8939011975888331
unstressed,523.1847327080415,0.8891923870231896
