condition,temperature_F,strength_fraction
stressed,679.7240682786205,1.0
stressed,700.3858150769152,0.9970738198317446
stressed,721.0526449236547,0.9881808969392368
stressed,741.7203206219885,0.9783580659504532
stressed,760.5076604481148,0.9710291990270824
stressed,790.5730243357282,0.9531243421613427
stressed,811.245262003282,0.9382861962608198
stressed,831.918939495009,0.9218651436605785
stressed,852.0571106519963,0.9042520005449787
stressed,873.2698561487839,0.8851074271502662
stressed,893.9458034385168,0.8661910153667596
stressed,914.6206219638361,0.848515538960877
stressed,928.9576041327864,0.8301354434695907
stressed,950.3387183921448,0.8102387014953385
stressed,969.1372452230717,0.790611121169338
stressed,987.9372259115453,0.7693852062030763
stressed,1007.6772721526354,0.7470248670503272
stressed,1021.7767398374897,0.73167472183167
stressed,1038.6967339644827,0.7125587474507892
stressed,1054.677529074644,0.6936245494777551
stressed,1067.8784778201195,0.6784528354555561
stressed,1077.709091632437,0.6658789591739503
stressed,1091.3401691503204,0.6492901824086286
stressed,1110.1411995351693,0.6269102574897457
stressed,1127.0625212193427,0.6063347999334908
stressed,1142.9100917213398,0.5863858137439227
stressed,1159.0259610884784,0.5664329463240592
stressed,1176.8864584690227,0.5457013502911527
stressed,1191.9257301244022,0.5295043576977311
stressed,1214.4863603444642,0.5033149348265319
stressed,1234.2255919481931,0.48185018762230775
stressed,1251.1444569900093,0.4639755012576916
unstressed,172.64729552321995,0.9988285448509544
unstressed,193.30698398640686,0.9977866805016612
unstressed,213.9668141446357,0.9965890401656082
unstressed,234.62528064305098,0.99689057333713
unstressed,255.28504488645746,0.9957653981089044
unstressed,275.9478882745845,0.9912550881535698
unstressed,296.45333999379767,0.9877188870901351
unstressed,317.27205204303317,0.9839088249488941
unstressed,337.9348929633558,0.979401228036007
unstressed,358.5970518617019,0.9756434290335129
unstressed,379.2592107600481,0.9718856300310188
unstressed,399.92011387189785,0.9695084113079783
unstressed,420.583983238058,0.9638701667524353
unstressed,441.2465968177218,0.9596125024763458
unstressed,461.9095135182641,0.9550215946845262
unstressed,482.5727333396847,0.9500974433769764
unstressed,503.2363320622034,0.944756737674764
unstressed,523.8996276638438,0.9397492754882815
unstressed,544.562923265484,0.9347418133017992
unstressed,565.2268251088813,0.9290678640838564
unstressed,585.8920909962312,0.9218943190451279
unstressed,606.5571295429227,0.9149707066431969
unstressed,627.2229258918098,0.9072139854519407
unstressed,647.8892527022347,0.8988740881081564
unstressed,668.5572466774906,0.8887013514278561
unstressed,689.2259984549428,0.8776955059582303
unstressed,709.8965386455775,0.8647235237457965
unstressed,730.5680488230234,0.8506851622830262
unstressed,751.2411200729932,0.8349305967142453
unstressed,771.9160100482338,0.8171765700510832
unstressed,790.7138380171355,0.7983173011641276
unstressed,808.572708368298,0.779374420557784
unstressed,826.4323858389425,0.7595442129710638
unstressed,843.3526842896747,0.740093672679549
unstressed,858.3955522577619,0.7199429838030713
unstressed,872.4979209417377,0.7014035526754366
unstressed,887.5415480652393,0.6804182673153667
unstressed,901.6459461254533,0.6596477906858422
unstressed,918.0071028520467,0.6354935977365205
unstressed,930.1395612874953,0.6188840851975498
unstressed,941.1400390032061,0.5995354274975562
unstressed,955.2435489012034,0.5797413742050446
unstressed,970.2862139316669,0.5598137898787557
unstressed,985.329865367989,0.5388017756116951
unstressed,1001.3134585474854,0.5167914501635882
unstressed,1018.2354038747992,0.4955303749295997
unstressed,1036.0970559213565,0.47352936794881
unstressed,1054.8967567843524,0.4526110861169769
unstressed,1073.6958741396575,0.4323342980529246
unstressed,1091.554905032619,0.41321492180676844
